"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          90,      -4.331911819,      -1.096360356,       -2.25890643,       1.116699682,      -6.809050219,          1021.356,    0.006075635965,     0.01896459781,                 0,                 0,                 0,     -0.0160473823,    0.006075635965,     0.01896459781,                 0,       3.121417727,   0.0001500018564
          0,           0,          91,      -4.315701567,      -1.101212645,      -2.262710771,       1.132913082,      -6.805755673,          1021.356,    0.006051101602,     0.01968759915,                 0,                 0,                 0,     -0.0162349085,    0.006051101602,     0.01968759915,                 0,       3.253556202,   0.0001500018564
          0,           0,          92,       -4.30101862,       -1.10613373,      -2.266847618,       1.148068828,      -6.802521347,          1021.356,    0.006026174276,     0.02030855203,                 0,                 0,                 0,    -0.01639298594,    0.006026174276,     0.02030855203,                 0,       3.370057203,   0.0001500018564
          0,           0,          93,      -4.288363452,      -1.111036193,      -2.271282749,       1.161485422,      -6.799348361,          1021.356,    0.006000894247,     0.02082559616,                 0,                 0,                 0,    -0.01652064674,    0.006000894247,     0.02082559616,                 0,       3.470415459,   0.0001500018564
          0,           0,          94,      -4.278000818,      -1.115835553,      -2.276027204,       1.172780348,      -6.796230931,          1021.356,    0.005975308736,     0.02123998392,                 0,                 0,                 0,    -0.01661769347,    0.005975308736,     0.02123998392,                 0,       3.554625352,   0.0001500018564
          0,           0,          95,      -4.270034373,      -1.120453428,      -2.281128711,       1.181778076,      -6.793162103,          1021.356,    0.005949473969,       0.021555755,                 0,                 0,                 0,    -0.01668467164,    0.005949473969,       0.021555755,                 0,       3.623136283,   0.0001500018564
          0,           0,          96,      -4.264464391,      -1.124821131,      -2.286663733,       1.188436205,      -6.790139719,          1021.356,    0.005923456681,     0.02177939401,                 0,                 0,                 0,    -0.01672284509,    0.005923456681,     0.02177939401,                 0,        3.67680481,   0.0001500018564
          0,           0,          97,      -4.261228742,      -1.128883199,      -2.292727536,       1.192792734,      -6.787160696,          1021.356,    0.005897334734,     0.02191945015,                 0,                 0,                 0,    -0.01673415546,    0.005897334734,     0.02191945015,                 0,       3.716840087,   0.0001500018564
          0,           0,          98,      -4.260229624,      -1.132600258,      -2.299414726,       1.194932023,      -6.784219785,          1021.356,    0.005871196649,     0.02198613751,                 0,                 0,                 0,    -0.01672115941,    0.005871196649,     0.02198613751,                 0,       3.744745548,   0.0001500018564
          0,           0,          99,      -4.261349188,       -1.13595077,      -2.306791148,       1.194965196,      -6.781290171,          1021.356,    0.005845140006,     0.02199093598,                 0,                 0,                 0,    -0.01668694153,    0.005845140006,     0.02199093598,                 0,       3.762259922,   0.0001500018564
